49	10.780904000	
55	10.786434000	
197	10.822238000	
203	10.828115000	
209	10.834068000	
215	10.840079000	
221	11.858218000	
227	11.864176000	
233	11.891265000	
239	11.897291000	
245	11.903598000	
251	12.248747000	
257	12.254562000	
263	12.260478000	
269	12.266473000	
275	12.272485000	
281	12.279935000	
287	12.287911000	
293	12.357459000	
299	12.413648000	
305	12.469866000	
311	12.526649000	
317	12.583665000	
323	12.639705000	
329	12.696476000	
335	12.752915000	
341	12.759020000	
347	12.764926000	
353	12.797382000	
359	12.802656000	
365	12.830770000	
371	12.847030000	
377	12.852759000	
383	12.880920000	
389	12.896043000	
395	12.901994000	
401	12.930125000	
407	12.964165000	
413	12.970004000	
419	12.998037000	
425	13.005246000	
431	13.011130000	
437	13.017154000	
443	13.023053000	
449	13.032366000	
455	13.047835000	
461	13.053695000	
467	13.059767000	
473	13.065885000	
479	13.071620000	
485	13.099347000	
491	13.105274000	
497	13.133397000	
503	13.196123000	
509	13.204166000	
515	13.251080000	
521	13.258188000	
527	13.266014000	
533	13.320405000	
539	13.409655000	
545	13.415137000	
551	13.443150000	
557	13.449177000	
563	13.455282000	
569	13.487087000	
575	13.492981000	
581	13.498955000	
587	13.504930000	
593	13.511042000	
599	13.519616000	
605	13.525872000	
611	13.594933000	
617	13.651004000	
623	13.707555000	
629	13.763634000	
635	13.820124000	
641	13.876662000	
647	13.932406000	
653	13.988575000	
659	13.994696000	
665	14.000523000	
671	14.025352000	
677	14.031960000	
683	14.039410000	
689	14.045406000	
695	14.051423000	
701	14.058375000	
707	14.066364000	
713	14.135701000	
719	14.191750000	
725	14.248780000	
731	14.305037000	
737	14.361393000	
743	14.420293000	
749	14.477142000	
755	14.533530000	
761	14.539593000	
767	14.545488000	
775	14.555589000	
781	14.561483000	
787	14.567351000	
793	14.573344000	
799	14.579464000	
805	14.586308000	
811	14.594593000	
817	14.664393000	
823	14.721437000	
829	14.778202000	
835	14.834832000	
841	14.890942000	
847	14.947533000	
853	15.003919000	
859	15.059998000	
865	15.066141000	
871	15.072103000	
